,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,lat,long,Regionname,Propertycount
0,Mulgrave,35 Bevis St,3,h,9000000,PI,Hall,29/07/2017,18.8,3170,3,1,1,744,117.0,1960,Monash City Council,-37.93168,145.16126,South-Eastern Metropolitan,7113
1,Canterbury,49 Mangarra Rd,5,h,8000000,VB,Sotheby's,13/05/2017,9.0,3126,5,5,4,2079,464.3,1880,Boroondara City Council,-37.8179,145.0694,Southern Metropolitan,3265
2,Hawthorn,49 Lisson Gr,4,h,7650000,S,Abercromby's,17/06/2017,5.3,3122,4,2,4,1690,284.0,1863,Boroondara City Council,-37.82652,145.03052,Southern Metropolitan,11308
3,Kew,15 Barry St,6,h,6500000,S,Jellis,13/08/2016,5.6,3101,6,6,3,1334,365.0,1890,Boroondara City Council,-37.8029,145.0267,Southern Metropolitan,10331
4,Middle Park,136 Page St,5,h,6400000,S,Marshall,9/09/2017,3.0,3206,5,2,1,553,308.0,1920,Port Phillip City Council,-37.84908,144.95753,Southern Metropolitan,2019
5,Middle Park,307 Beaconsfield Pde,4,h,6370000,S,Greg,14/10/2017,3.0,3206,4,3,3,476,279.0,1893,Port Phillip City Council,-37.85601,144.96596,Southern Metropolitan,2019
6,Toorak,17 Albany Rd,3,h,6250000,S,Kay,15/10/2016,4.6,3142,3,3,2,564,342.0,2000,Stonnington City Council,-37.8486,145.0244,Southern Metropolitan,7217
7,Malvern East,33 Grant St,5,h,6125000,S,Marshall,28/10/2017,8.4,3145,5,3,2,1384,340.0,1982,Stonnington City Council,-37.871809999999996,145.05288000000002,Southern Metropolitan,8801
8,South Yarra,18 Avoca St,4,h,5700000,S,Castran,12/11/2016,3.3,3141,4,2,0,292,272.0,1880,Melbourne City Council,-37.8377,144.9894,Southern Metropolitan,14887
9,Middle Park,204 Page St,6,h,5600000,PI,Marshall,3/06/2017,3.0,3206,6,4,2,472,328.0,1915,Port Phillip City Council,-37.852309999999996,144.96373,Southern Metropolitan,2019
10,Armadale,367 Dandenong Rd,6,h,5525000,S,Marshall,17/09/2016,6.3,3143,5,3,4,1491,516.0,1935,Stonnington City Council,-37.8602,145.013,Southern Metropolitan,4836
11,Hawthorn,17 Fairview St,5,h,5510000,S,RT,3/06/2017,5.3,3122,5,2,5,820,300.0,1971,Boroondara City Council,-37.83031,145.02973,Southern Metropolitan,11308
12,Toorak,684 Orrong Rd,4,h,5500000,S,Marshall,4/03/2017,4.6,3142,4,4,5,877,332.0,1923,Stonnington City Council,-37.8447,145.0134,Southern Metropolitan,7217
13,Toorak,10 Myoora Rd,4,h,5500000,VB,Marshall,3/12/2016,4.6,3142,4,3,2,691,374.0,2000,Stonnington City Council,-37.8431,145.02100000000002,Southern Metropolitan,7217
14,Kew,8 Adeney Av,6,h,5200000,VB,Marshall,9/12/2017,5.4,3101,6,2,2,1642,405.0,1920,Boroondara City Council,-37.80755,145.0481,Southern Metropolitan,10331
15,Brighton,15 Newbay Cr,5,h,5150000,PI,Buxton,18/11/2017,10.5,3186,5,3,4,662,513.0,2005,Bayside City Council,-37.9059,144.99200000000002,Southern Metropolitan,10579
16,Armadale,121 Kooyong Rd,4,h,5100000,S,Marshall,3/09/2017,6.3,3143,4,2,2,761,255.0,1900,Stonnington City Council,-37.85249,145.02091000000001,Southern Metropolitan,4836
17,Hawthorn,50 Kinkora Rd,4,h,5050000,VB,Kay,19/11/2016,4.6,3122,4,4,2,905,373.0,1913,Boroondara City Council,-37.8168,145.0321,Southern Metropolitan,11308
18,St Kilda,18 Crimea St,5,h,5046000,S,Abercromby's,10/12/2016,6.1,3182,5,3,3,1294,378.0,1884,Port Phillip City Council,-37.8589,144.9883,Southern Metropolitan,13240
19,Kew,23 Grange Rd,5,h,4850000,S,Caine,12/11/2016,5.6,3101,5,4,4,957,400.0,1930,Boroondara City Council,-37.8112,145.05700000000002,Southern Metropolitan,10331
20,Malvern East,8 Ash Gr,5,h,4802500,S,Marshall,10/12/2016,11.2,3145,5,2,4,837,267.0,1919,Stonnington City Council,-37.8756,145.0561,Southern Metropolitan,8801
21,Canterbury,42 Parlington St,4,h,4750000,S,Kay,27/05/2017,8.4,3126,4,3,2,967,470.0,1996,Boroondara City Council,-37.81792,145.06243999999998,Southern Metropolitan,3265
22,Albert Park,115 Page St,4,h,4735000,S,Marshall,25/02/2017,3.3,3206,4,2,1,330,207.0,1910,Port Phillip City Council,-37.8477,144.9558,Southern Metropolitan,3280
23,Balwyn,10 Myambert Av,5,h,4600000,VB,Fletchers,6/01/2018,7.9,3103,5,5,2,1242,313.0,1952,Boroondara City Council,-37.81654,145.07165,Southern Metropolitan,5682
24,Malvern,3 Mary St,4,h,4525000,PI,Marshall,22/08/2016,7.4,3144,4,4,2,716,159.0,1925,Stonnington City Council,-37.8469,145.0377,Southern Metropolitan,4675
25,Kew,8 Mawson St,5,h,4515000,S,Marshall,13/05/2017,5.6,3101,5,4,2,800,490.0,2012,Boroondara City Council,-37.8147,145.0571,Southern Metropolitan,10331
26,Hampton,24 Gordon St,5,h,4500000,VB,Marshall,18/11/2017,13.8,3188,5,2,4,1088,324.0,1990,Bayside City Council,-37.9304,144.9973,Southern Metropolitan,5454
27,Toorak,23 Canberra Rd,4,h,4500000,PI,RT,15/10/2016,4.6,3142,4,3,2,732,367.0,1980,Stonnington City Council,-37.8349,145.01,Southern Metropolitan,7217
28,St Kilda,10 Charlotte Pl,5,h,4400000,S,Marshall,19/11/2016,6.1,3182,5,4,4,657,312.0,1900,Port Phillip City Council,-37.8582,144.9913,Southern Metropolitan,13240
29,Brighton,26 Brickwood St,5,h,4400000,VB,Marshall,11/11/2017,10.5,3186,5,4,2,710,429.0,2015,Bayside City Council,-37.8936,144.9982,Southern Metropolitan,10579
30,Hawthorn,2 Fordholm Rd,5,h,4250000,PI,Marshall,17/09/2016,4.6,3122,5,4,3,1275,435.0,1930,Boroondara City Council,-37.8291,145.0308,Southern Metropolitan,11308
31,Malvern,18 Soudan St,5,h,4240000,S,Marshall,19/11/2016,7.4,3144,5,3,3,580,320.0,1890,Stonnington City Council,-37.8653,145.0304,Southern Metropolitan,4675
32,Brighton,24 North Rd,4,h,4225000,S,Biggin,8/04/2017,11.2,3186,4,2,2,920,333.0,1990,Bayside City Council,-37.8981,144.9902,Southern Metropolitan,10579
33,Prahran,8 Linden Ct,4,h,4200000,S,Marshall,12/08/2017,4.6,3181,4,2,2,787,275.0,1930,Stonnington City Council,-37.85768,145.00253999999998,Southern Metropolitan,7717
34,Toorak,6 Leighton Ct,3,h,4200000,S,Melbourne,23/04/2016,4.6,3142,4,4,2,565,331.0,2005,Stonnington City Council,-37.8448,145.0123,Southern Metropolitan,7217
35,Armadale,44 Hampden Rd,4,h,4200000,VB,Kay,27/11/2016,6.3,3143,4,3,3,563,333.0,2000,Stonnington City Council,-37.8582,145.0138,Southern Metropolitan,4836
36,Armadale,16 Bailey Av,4,h,4060000,S,Marshall,26/08/2017,6.3,3143,4,2,1,574,191.0,1910,Stonnington City Council,-37.86325,145.02421999999999,Southern Metropolitan,4836
37,Malvern,20 Coonil Cr,4,h,4050000,S,Hodges,12/08/2017,5.9,3144,4,3,2,787,282.0,1915,Stonnington City Council,-37.860440000000004,145.0335,Southern Metropolitan,4675
38,Balwyn North,57 Cityview Rd,5,h,4050000,S,Noel,18/11/2017,9.7,3104,5,4,4,660,461.0,2012,Boroondara City Council,-37.789,145.0791,Southern Metropolitan,7809
39,Brighton,2A Collins St,4,h,4050000,PI,Buxton,12/08/2017,10.5,3186,4,4,4,508,465.0,2011,Bayside City Council,-37.909040000000005,144.99868,Southern Metropolitan,10579
40,Fitzroy,17 Bell St,4,h,4011000,S,Nelson,27/11/2016,1.6,3065,4,3,2,286,275.0,1890,Yarra City Council,-37.7999,144.9755,Northern Metropolitan,5825
41,Box Hill,6 Archibald St,3,h,4000000,VB,Lindellas,18/06/2016,13.1,3128,3,1,2,763,120.0,1945,Whitehorse City Council,-37.8166,145.1215,Eastern Metropolitan,4605
42,Toorak,4 Nola Ct,4,h,4000000,S,Rodney,19/11/2016,4.6,3142,4,2,2,684,331.0,1963,Stonnington City Council,-37.8485,145.0169,Southern Metropolitan,7217
43,Balwyn,349 Union Rd,6,h,4000000,VB,Jellis,3/12/2016,9.7,3103,6,4,7,2051,449.0,1935,Boroondara City Council,-37.8051,145.1016,Southern Metropolitan,5682
44,Balwyn North,9 Stephens St,5,h,4000000,PI,Marshall,18/06/2016,9.2,3104,5,5,4,1364,518.0,2013,Boroondara City Council,-37.7961,145.0859,Southern Metropolitan,7809
45,Hawthorn,4 Ardene Ct,5,h,3950000,S,Jellis,16/04/2016,4.6,3122,4,2,3,1236,340.0,1890,Boroondara City Council,-37.8257,145.0321,Southern Metropolitan,11308
46,Brighton,66 Champion St,4,h,3900000,S,Nick,22/05/2016,11.2,3186,4,2,2,842,311.0,1990,Bayside City Council,-37.9227,145.0043,Southern Metropolitan,10579
47,Mont Albert,72 Churchill St,4,h,3900000,PI,Jellis,25/02/2017,11.8,3127,4,2,6,2187,327.0,1903,Boroondara City Council,-37.8186,145.1134,Eastern Metropolitan,2079
48,Aberfeldie,126 The Boulevard,4,h,3900000,S,Nelson,10/12/2016,9.1,3040,4,4,4,670,375.0,2010,Moonee Valley City Council,-37.7637,144.8931,Western Metropolitan,1543
49,Balwyn North,57 Cityview Rd,5,h,3870000,PI,Noel,7/10/2017,9.7,3104,5,4,4,660,430.0,2011,Boroondara City Council,-37.788990000000005,145.07913,Southern Metropolitan,7809
50,Glen Iris,23 Flowerdale Rd,5,h,3860000,S,Marshall,19/11/2016,9.2,3146,5,4,2,830,520.0,2009,Boroondara City Council,-37.8563,145.072,Southern Metropolitan,10412
51,Brighton,24 Grosvenor St,4,h,3850000,VB,Marshall,28/10/2017,10.5,3186,4,2,2,823,365.0,1937,Bayside City Council,-37.909459999999996,144.98918999999998,Southern Metropolitan,10579
52,Ivanhoe East,271 The Boulevard,5,h,3850000,SP,Miles,3/12/2016,9.0,3079,5,4,2,2064,405.0,1951,Banyule City Council,-37.7769,145.0605,Eastern Metropolitan,1554
53,Brighton,10A Dawson Av,4,t,3820000,SP,Buxton,28/10/2017,10.5,3186,4,2,2,420,351.0,2010,Bayside City Council,-37.892379999999996,144.98907,Southern Metropolitan,10579
54,Balwyn,27 Burroughs Rd,5,h,3812000,S,VICProp,29/07/2017,7.9,3103,5,4,2,729,1.0,2012,Boroondara City Council,-37.806,145.09511,Southern Metropolitan,5682
55,Malvern,41 Horace St,4,h,3800000,S,Kay,13/08/2016,7.4,3144,4,3,2,587,392.0,2016,Stonnington City Council,-37.8613,145.0393,Southern Metropolitan,4675
56,Kew,23 Uvadale Gr,5,h,3800000,VB,Jellis,6/05/2017,5.6,3101,5,5,3,609,424.0,1970,Boroondara City Council,-37.8064,145.0451,Southern Metropolitan,10331
57,Beaumaris,19 Bolton St,5,h,3778000,S,Buxton,16/09/2017,17.3,3193,5,4,4,1254,465.0,1980,Bayside City Council,-37.97775,145.02754,Southern Metropolitan,5366
58,Hawthorn,9 Power St,5,h,3750000,PI,Marshall,28/05/2016,4.6,3122,5,3,2,827,344.0,1920,Boroondara City Council,-37.8144,145.0279,Southern Metropolitan,11308
59,Glen Iris,2 Vincent St,5,h,3730000,PI,Abercromby's,3/09/2016,9.2,3146,4,3,2,919,353.0,1925,Boroondara City Council,-37.8637,145.0438,Southern Metropolitan,10412
60,Port Melbourne,126 Heath St,3,h,3705000,S,Greg,27/11/2016,3.8,3207,3,2,2,214,241.0,2014,Melbourne City Council,-37.8341,144.9458,Southern Metropolitan,8648
61,Brighton,18 Victoria St,4,h,3700000,S,Marshall,3/12/2016,11.2,3186,4,3,2,742,247.0,1900,Bayside City Council,-37.914,144.9878,Southern Metropolitan,10579
62,Brighton,82 New St,5,h,3700000,VB,Kay,18/06/2016,11.2,3186,4,3,4,1572,305.0,1890,Bayside City Council,-37.9233,144.9944,Southern Metropolitan,10579
